Organ,FTU Label in Uberon,FTU ID in Uberon,CL_ID,CL_Label_FTU,popv,celltypist_L1,celltypist_pkl,azimuth_L1,azimuth_L2,azimuth_L3,azimuth_L4,azimuth_L5
Spleen,White Pulp,UBERON:0001959,CL:1000489,reticular cell of splenic cord,False,False,False,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,CL:0001055,"CD14-positive, CD16-low monocyte",False,False,False,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,CL:0000442,follicular dendritic cell,False,False,False,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,CL:0000980,plasmablast,False,True,True,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,CL:0000775,neutrophil,True,True,True,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0000809,"double-positive, alpha-beta thymocyte",False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,UBERON:0006936,thymus subcapsular epithelium,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0000942,thymic plasmacytoid dendritic cell,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0000071,blood vessel endothelial cell,True,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0000883,thymic cortical macrophage,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0009077,subcapsular cortical epithelial cell,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0001070,beige adipocyte,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0000084,T cell,True,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,,,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0009071,medullary thymic epithelial cell type 1,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,UBERON:0003987,Hassall's corpuscle,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0000787,memory B cell,True,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0009070,corticomedullary thymic epithelial cell,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0000738,leukocyte,True,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0000882,thymic medullary macrophage,False,False,False,False,False,False,False,False
Thymus,Thymus Lobule,UBERON:0002125,CL:0000788,naive B cell,True,False,False,False,False,False,False,False
