Organ	Organ_ID	FTU Label in Uberon	FTU ID in Uberon	CT Label in CL	CT ID in CL	CT Label in 2D Object
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Alveolus of Lung	UBERON:0002299	alveolar type 1 fibroblast cell	CL:4028004	Lung Matrix Fibroblast
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Alveolus of Lung	UBERON:0002299	secondary crest myofibroblast	CL:4033016	Secondary Crest Myofibroblast
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Alveolus of Lung	UBERON:0002299	alveolar capillary type 1 endothelial cell	CL:4028002	Capillary Endothelial Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Intercalated Duct	UBERON:0014726	epithelial cell of exocrine pancreas	CL:1001433	Ductal Epithelial Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Intercalated Duct	UBERON:0014726	pancreatic centro-acinar cell	CL:0002080	Centroacinar Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Intercalated Duct	UBERON:0014726	intercalated duct of pancreas	UBERON:0014726	intercalated duct
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Intercalated Duct	UBERON:0014726	pancreatic acinus	UBERON:0001263	pancreatic acinus
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Acinus	UBERON:0001263	pancreatic acinar cell	CL:0002064	Pancreatic Acinar Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Acinus	UBERON:0001263	pancreatic goblet cell	CL:1000322	Pancreatic Goblet Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Acinus	UBERON:0001263	epithelial cell of exocrine pancreas	CL:1001433	Ductal Epithelial Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Acinus	UBERON:0001263	pancreatic centro-acinar cell	CL:0002080	Centroacinar Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Acinus	UBERON:0001263			Tuft Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Acinus	UBERON:0001263	intercalated duct of pancreas	UBERON:0014726	Intercalated Duct
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Islet of Langerhans	UBERON:0000006	pancreatic A cell	CL:0000171	Pancreatic A Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Islet of Langerhans	UBERON:0000006	type B pancreatic cell	CL:0000169	Pancreatic B Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Islet of Langerhans	UBERON:0000006	pancreatic D cell	CL:0000173	Pancreatic D Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Islet of Langerhans	UBERON:0000006	pancreatic PP cell	CL:0002275	Pancreatic PP Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Islet of Langerhans	UBERON:0000006	capillary endothelial cell	CL:0002144	Capillary Endothelial Cell
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Islet of Langerhans	UBERON:0000006	macrophage	CL:0000235	Macrophage
Pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Islet of Langerhans	UBERON:0000006			Pericyte
Prostate	http://purl.obolibrary.org/obo/UBERON_0002367	Prostate Glandular Acinus	UBERON:0004179	fibroblast of subepithelial connective tissue of prostatic gland	CL:1000301	Fibroblast Of Subepithelial Connective Tissue Of Prostatic Gland
Prostate	http://purl.obolibrary.org/obo/UBERON_0002367	Prostate Glandular Acinus	UBERON:0004179	smooth muscle cell of prostate	CL:1000487	Smooth Muscle Cell Of Prostate
